Source.Name,Cost Center,Cost Center Name,Person Name,Target Type,Job Level,Util % YTD,Util %,Util % Target,Util % Variance,Billability % YTD,Billability %,Billability % Target,Billability % Variance,Total,Avail Total,Direct Total,Indirect Total,OT Hours,Admin,Bench,Bus Dev,Mngmt,Opportunity,Training,Other,Unpaid OT,Fringe Total,Stat & Disc,Vacation,Wellness,Unpaid Regular
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Nikhil Petrova,Billable Staff,L2 Engineer,59.48,59.48,85.00,-25.52,55.60,55.60,78.00,-22.40,184.0,172.0,102.3,69.7,0.0,5.4,46.2,1.9,1.4,1.7,10.9,2.2,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Odessa Duarte,Billable Staff,L2 Engineer,89.81,89.81,85.00,4.81,78.10,78.10,78.00,0.10,184.0,160.0,143.7,16.3,0.0,3.5,0.0,1.5,1.0,3.6,5.6,1.1,6.0,24.0,8.0,8.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Priya Halvorsen,Billable Staff,L2 Engineer,85.83,85.83,85.00,0.83,78.37,78.37,78.00,0.37,184.0,168.0,144.2,23.8,0.0,5.7,0.0,1.5,1.8,0.0,13.4,1.4,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Quentin Ferreira,Project Leadership,L5 Principal,67.44,67.44,55.00,12.44,60.11,60.11,50.50,9.61,184.0,164.0,110.6,53.4,0.0,7.7,3.8,14.5,12.2,0.0,13.4,1.8,0.0,20.0,8.0,8.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Rosalind Moreau,Billable Staff,L1 Analyst,75.35,75.35,80.00,-4.65,70.43,70.43,73.50,-3.07,184.0,172.0,129.6,42.4,0.0,4.6,21.5,1.3,0.6,0.0,14.1,0.3,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Soren Iverson,Billable Staff,L3 Senior Engineer,89.71,89.71,85.00,4.71,83.86,83.86,78.00,5.86,184.0,172.0,154.3,17.7,0.0,3.8,0.0,2.5,4.2,0.0,5.4,1.8,6.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Tamsin Vasquez,Billable Staff,L1 Analyst,80.19,80.19,80.00,0.19,69.73,69.73,73.50,-3.77,184.0,160.0,128.3,31.7,0.0,7.4,13.8,0.5,0.9,0.0,6.8,2.3,4.0,24.0,8.0,8.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Ulises Larkin,Project Leadership,L4 Manager,74.51,74.51,60.00,14.51,66.41,66.41,55.00,11.41,184.0,164.0,122.2,41.8,0.0,3.9,0.0,6.9,18.5,2.1,9.5,0.9,0.0,20.0,8.0,12.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Adaeze Haddad,Billable Staff,L3 Senior Engineer,81.81,81.81,85.00,-3.19,71.14,71.14,78.00,-6.86,184.0,160.0,130.9,29.1,0.0,8.0,0.1,3.4,4.6,0.0,10.9,2.1,0.0,24.0,16.0,4.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Bruno Kowalski,Project Leadership,L4 Manager,63.49,63.49,60.00,3.49,59.35,59.35,55.00,4.35,184.0,172.0,109.2,62.8,0.0,5.4,4.8,7.2,31.2,0.0,12.1,2.1,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Clara Bergstrom,Project Leadership,L5 Principal,50.58,50.58,55.00,-4.42,47.28,47.28,50.50,-3.22,184.0,172.0,87.0,85.0,0.0,8.0,23.4,14.4,22.2,0.0,14.6,2.4,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Dmitri Delacroix,Billable Staff,L1 Analyst,72.33,72.33,80.00,-7.67,69.18,69.18,73.50,-4.32,184.0,176.0,127.3,48.7,0.0,6.5,25.6,0.7,1.0,0.0,13.2,1.7,0.0,8.0,8.0,0.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Vera Okafor,Billable Staff,L3 Senior Engineer,88.64,88.64,85.00,3.64,73.13,73.13,78.00,-4.87,160.0,132.0,117.0,15.0,0.0,3.6,0.0,1.3,2.6,0.0,6.5,1.0,0.0,28.0,16.0,12.0,0.0,24.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Wren Nakamura,Overhead,L2 Engineer,14.58,14.58,25.00,-10.42,13.32,13.32,23.00,-9.68,184.0,168.0,24.5,143.5,0.0,4.3,120.5,6.9,1.3,0.0,8.5,2.0,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Xiomara Fontaine,Overhead,L4 Manager,20.65,20.65,25.00,-4.35,19.00,19.00,23.00,-4.00,200.0,184.0,38.0,146.0,16.0,4.6,51.0,23.1,56.2,0.0,10.5,0.6,18.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Yusuf Novak,Billable Staff,L2 Engineer,67.15,67.15,85.00,-17.85,62.77,62.77,78.00,-15.23,184.0,172.0,115.5,56.5,0.0,8.1,29.6,2.0,1.1,0.0,14.6,1.1,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Zara Ashworth,Project Leadership,L5 Principal,65.30,65.30,55.00,10.30,59.62,59.62,50.50,9.12,184.0,168.0,109.7,58.3,0.0,6.1,16.9,6.8,11.5,0.0,14.7,2.3,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Amara Petrova,Billable Staff,L2 Engineer,90.24,90.24,85.00,5.24,82.39,82.39,78.00,4.39,184.0,168.0,151.6,16.4,0.0,3.7,0.0,1.1,1.6,2.6,7.0,0.4,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Bennett Duarte,Billable Staff,L3 Senior Engineer,95.87,95.87,85.00,10.87,89.62,89.62,78.00,11.62,184.0,172.0,164.9,7.1,0.0,1.7,0.0,0.8,1.6,0.4,2.3,0.3,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Camille Halvorsen,Project Leadership,L5 Principal,37.26,37.26,55.00,-17.74,34.02,34.02,50.50,-16.48,184.0,168.0,62.6,105.4,0.0,5.2,49.4,21.0,11.1,0.0,17.3,1.4,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Devon Ferreira,Billable Staff,L3 Senior Engineer,82.38,82.38,85.00,-2.62,75.22,75.22,78.00,-2.78,184.0,168.0,138.4,29.6,0.0,7.9,1.1,4.7,2.3,0.3,12.7,0.6,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Elena Moreau,Project Leadership,L4 Manager,61.31,61.31,60.00,1.31,53.32,53.32,55.00,-1.68,184.0,160.0,98.1,61.9,0.0,6.3,13.3,8.3,22.3,3.8,7.1,0.8,0.0,24.0,8.0,8.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Farid Iverson,Billable Staff,L2 Engineer,60.12,60.12,85.00,-24.88,53.59,53.59,78.00,-24.41,184.0,164.0,98.6,65.4,0.0,5.4,0.0,1.4,1.4,0.0,56.0,1.2,0.0,20.0,8.0,4.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Grace Vasquez,Billable Staff,L2 Engineer,89.49,89.49,85.00,4.49,83.78,83.78,78.00,5.78,188.0,176.0,157.5,18.5,4.0,3.9,0.0,1.5,1.4,5.1,4.9,1.7,4.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Hassan Larkin,Billable Staff,L2 Engineer,66.99,66.99,85.00,-18.01,64.08,64.08,78.00,-13.92,184.0,176.0,117.9,58.1,0.0,8.5,40.2,1.0,1.8,0.0,6.1,0.5,0.0,8.0,8.0,0.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Imani Okafor,Billable Staff,L1 Analyst,52.50,52.50,80.00,-27.50,49.08,49.08,73.50,-24.42,184.0,172.0,90.3,81.7,0.0,8.4,12.7,0.8,0.6,1.2,55.8,2.2,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Jonas Nakamura,Project Leadership,L4 Manager,62.87,62.87,60.00,2.87,56.03,56.03,55.00,1.03,184.0,164.0,103.1,60.9,0.0,5.1,17.9,7.5,20.3,2.4,5.4,2.3,0.0,20.0,8.0,4.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Katya Fontaine,Billable Staff,L2 Engineer,89.89,89.89,85.00,4.89,81.08,81.08,78.00,3.08,204.0,184.0,165.4,18.6,20.0,4.3,0.0,1.8,1.8,4.2,4.7,1.8,0.0,20.0,8.0,12.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Liam Novak,Billable Staff,L3 Senior Engineer,61.90,61.90,85.00,-23.10,56.52,56.52,78.00,-21.48,184.0,168.0,104.0,64.0,0.0,5.2,0.0,4.2,5.5,0.0,47.0,2.1,0.0,16.0,8.0,0.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Maren Ashworth,Billable Staff,L3 Senior Engineer,94.51,94.51,85.00,9.51,80.73,80.73,78.00,2.73,192.0,164.0,155.0,9.0,8.0,2.2,0.0,1.1,2.2,0.0,3.0,0.5,0.0,28.0,8.0,12.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Nikhil Haddad,Billable Staff,L3 Senior Engineer,83.23,83.23,85.00,-1.77,74.18,74.18,78.00,-3.82,184.0,164.0,136.5,27.5,0.0,5.8,0.0,1.5,3.5,5.8,10.9,0.0,0.0,20.0,8.0,8.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Odessa Kowalski,Project Leadership,L4 Manager,70.54,70.54,60.00,10.54,64.34,64.34,55.00,9.34,182.0,166.0,117.1,48.9,14.0,6.1,0.0,7.8,24.2,3.6,5.8,1.4,0.0,16.0,8.0,4.0,4.0,16.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Priya Bergstrom,Billable Staff,L2 Engineer,98.47,98.47,85.00,13.47,90.00,90.00,78.00,12.00,186.0,170.0,167.4,2.6,2.0,0.5,0.0,0.2,0.2,0.8,0.8,0.1,0.0,16.0,8.0,4.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Quentin Delacroix,Billable Staff,L3 Senior Engineer,60.23,60.23,85.00,-24.77,56.30,56.30,78.00,-21.70,184.0,172.0,103.6,68.4,0.0,6.6,4.2,2.3,5.5,1.5,47.0,1.3,4.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Rosalind Ashby,Project Leadership,L4 Manager,64.42,64.42,60.00,4.42,60.22,60.22,55.00,5.22,184.0,172.0,110.8,61.2,0.0,5.4,8.5,9.8,24.4,0.0,12.0,1.1,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Soren Salazar,Project Leadership,L4 Manager,68.01,68.01,60.00,8.01,57.66,57.66,55.00,2.66,184.0,156.0,106.1,49.9,0.0,6.3,0.0,7.9,24.8,0.0,9.6,1.3,6.0,28.0,16.0,12.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Tamsin Thorne,Project Leadership,L4 Manager,54.83,54.83,60.00,-5.17,51.25,51.25,55.00,-3.75,184.0,172.0,94.3,77.7,0.0,7.1,16.3,3.3,32.4,7.9,10.5,0.2,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Adaeze Whitfield,Billable Staff,L3 Senior Engineer,55.06,55.06,85.00,-29.94,51.47,51.47,78.00,-26.53,184.0,172.0,94.7,77.3,0.0,7.7,8.0,6.5,5.8,0.0,48.3,1.0,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Bruno Rathore,Project Leadership,L4 Manager,61.40,61.40,60.00,1.40,54.11,54.11,55.00,-0.89,202.0,178.0,109.3,68.7,18.0,7.3,0.1,12.3,36.5,3.6,7.7,1.2,0.0,24.0,8.0,8.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Clara Carrasco,Project Leadership,L4 Manager,58.00,58.00,60.00,-2.00,51.89,51.89,55.00,-3.11,190.0,170.0,98.6,71.4,6.0,7.2,11.8,13.0,25.4,3.9,9.9,0.2,0.0,20.0,8.0,4.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Dmitri Yilmaz,Billable Staff,L3 Senior Engineer,83.75,83.75,85.00,-1.25,69.18,69.18,78.00,-8.82,184.0,152.0,127.3,24.7,0.0,6.5,0.0,2.2,6.8,0.0,8.3,0.9,0.0,32.0,16.0,8.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Ulises Sandoval,Project Leadership,L4 Manager,27.67,27.67,60.00,-32.33,26.47,26.47,55.00,-28.53,184.0,176.0,48.7,127.3,0.0,4.6,37.9,7.2,15.4,0.0,60.1,2.1,4.0,8.0,8.0,0.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Vera Lindqvist,Billable Staff,L2 Engineer,88.08,88.08,85.00,3.08,74.67,74.67,78.00,-3.33,184.0,156.0,137.4,18.6,0.0,5.9,0.0,2.0,0.9,0.0,8.4,1.4,0.0,28.0,8.0,16.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Wren Beaumont,Billable Staff,L3 Senior Engineer,92.50,92.50,85.00,7.50,84.46,84.46,78.00,6.46,184.0,168.0,155.4,12.6,0.0,2.9,0.0,0.9,2.4,2.2,3.3,0.9,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Xiomara Mbeki,Project Leadership,L4 Manager,49.24,49.24,60.00,-10.76,46.03,46.03,55.00,-8.97,184.0,172.0,84.7,87.3,0.0,5.2,38.4,8.1,27.2,0.0,7.0,1.4,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Yusuf Adeyemi,Billable Staff,L2 Engineer,84.51,84.51,85.00,-0.49,75.33,75.33,78.00,-2.67,184.0,164.0,138.6,25.4,0.0,5.2,0.0,1.4,2.1,3.6,11.0,2.1,0.0,20.0,8.0,12.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Zara Mensah,Project Leadership,L4 Manager,30.52,30.52,60.00,-29.48,28.53,28.53,55.00,-26.47,184.0,172.0,52.5,119.5,0.0,5.8,0.0,7.2,38.1,5.9,60.6,1.9,0.0,12.0,8.0,0.0,4.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Amara Ashby,Billable Staff,L3 Senior Engineer,73.05,76.84,85.00,-8.16,69.65,73.00,78.00,-5.00,160.0,152.0,116.8,35.2,0.0,3.5,0.0,2.0,1.4,0.0,28.2,0.1,0.0,8.0,8.0,0.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Bennett Salazar,Billable Staff,L3 Senior Engineer,95.59,96.76,85.00,11.76,84.48,82.25,78.00,4.25,160.0,136.0,131.6,4.4,0.0,1.4,0.0,0.7,1.0,0.3,0.7,0.3,0.0,24.0,8.0,16.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Camille Thorne,Billable Staff,L3 Senior Engineer,88.19,87.71,85.00,2.71,77.94,78.94,78.00,0.94,160.0,144.0,126.3,17.7,0.0,2.4,0.0,1.3,3.1,3.9,5.8,1.2,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Devon Sandoval,Billable Staff,L1 Analyst,82.28,80.35,80.00,0.35,75.58,72.31,73.50,-1.19,160.0,144.0,115.7,28.3,0.0,6.0,15.5,1.4,0.8,0.0,3.4,1.2,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Elena Lindqvist,Billable Staff,L1 Analyst,75.72,77.91,80.00,-2.09,66.92,72.06,73.50,-1.44,160.0,148.0,115.3,32.7,0.0,7.3,19.1,0.5,0.6,0.6,3.7,0.9,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Farid Beaumont,Billable Staff,L3 Senior Engineer,98.50,98.51,85.00,13.51,89.55,91.13,78.00,13.13,160.0,148.0,145.8,2.2,0.0,0.9,0.0,0.5,0.8,0.0,0.0,0.0,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Grace Mbeki,Billable Staff,L1 Analyst,76.77,80.70,80.00,0.70,66.78,69.04,73.50,-4.46,166.0,142.0,114.6,27.4,6.0,4.4,6.6,0.8,0.6,5.1,8.5,1.4,0.0,24.0,8.0,8.0,8.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Hassan Adeyemi,Billable Staff,L2 Engineer,67.28,61.10,85.00,-23.90,60.40,51.94,78.00,-26.06,160.0,136.0,83.1,52.9,0.0,6.7,39.3,2.2,2.0,0.0,2.5,0.2,0.0,24.0,8.0,16.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Imani Mensah,Billable Staff,L3 Senior Engineer,79.27,82.01,85.00,-2.99,72.82,73.81,78.00,-4.19,160.0,144.0,118.1,25.9,0.0,3.7,10.1,2.0,5.0,0.0,3.2,1.9,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Jonas Whitfield,Billable Staff,L1 Analyst,81.39,82.67,80.00,2.67,69.70,67.81,73.50,-5.69,178.0,146.0,120.7,25.3,18.0,6.0,6.9,0.7,0.8,0.6,8.5,1.8,0.0,32.0,8.0,24.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Katya Rathore,Billable Staff,L1 Analyst,79.74,87.43,80.00,7.43,71.40,76.50,73.50,3.00,160.0,140.0,122.4,17.6,0.0,6.2,8.7,0.5,0.7,0.0,0.6,0.9,0.0,20.0,8.0,12.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Liam Carrasco,Project Leadership,L4 Manager,63.15,68.33,60.00,8.33,58.21,61.50,55.00,6.50,160.0,144.0,98.4,45.6,0.0,4.3,0.7,4.8,29.4,4.0,1.7,0.7,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Maren Yilmaz,Billable Staff,L3 Senior Engineer,92.34,92.36,85.00,7.36,85.90,85.44,78.00,7.44,160.0,148.0,136.7,11.3,0.0,2.0,0.0,1.1,1.4,2.7,3.3,0.8,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Nikhil Petrova,Billable Staff,L2 Engineer,58.12,56.40,85.00,-28.60,52.03,47.94,78.00,-30.06,160.0,136.0,76.7,59.3,0.0,6.8,45.6,1.6,1.1,0.0,3.3,0.9,8.0,24.0,8.0,16.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Odessa Duarte,Billable Staff,L2 Engineer,91.14,92.44,85.00,7.44,81.13,84.22,78.00,6.22,180.0,164.0,151.6,12.4,20.0,4.8,0.0,0.9,2.1,4.2,0.2,0.2,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Priya Halvorsen,Billable Staff,L2 Engineer,85.19,84.44,85.00,-0.56,77.27,76.00,78.00,-2.00,160.0,144.0,121.6,22.4,0.0,6.6,5.2,1.7,1.2,0.0,5.8,1.9,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Quentin Ferreira,Project Leadership,L5 Principal,66.62,65.69,55.00,10.69,59.65,59.12,50.50,8.62,160.0,144.0,94.6,49.4,0.0,6.7,4.9,13.9,17.4,0.0,5.4,1.1,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Rosalind Moreau,Billable Staff,L1 Analyst,76.08,76.88,80.00,-3.12,70.17,69.89,73.50,-3.61,176.0,160.0,123.0,37.0,16.0,6.1,18.6,0.4,1.4,2.6,6.0,1.9,0.0,16.0,8.0,8.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Soren Iverson,Billable Staff,L3 Senior Engineer,85.63,80.76,85.00,-4.24,78.66,72.69,78.00,-5.31,160.0,144.0,116.3,27.7,0.0,5.8,3.1,4.0,3.4,0.0,10.9,0.5,0.0,16.0,8.0,4.0,4.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Tamsin Vasquez,Billable Staff,L1 Analyst,80.43,80.69,80.00,0.69,71.08,72.63,73.50,-0.87,160.0,144.0,116.2,27.8,0.0,4.3,10.5,0.7,0.7,0.0,10.0,1.6,8.0,16.0,8.0,0.0,8.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1020,Mechanical Engineering,Ulises Larkin,Project Leadership,L4 Manager,73.01,71.35,60.00,11.35,66.22,66.00,55.00,11.00,160.0,148.0,105.6,42.4,0.0,6.4,4.1,10.1,17.9,0.0,2.5,1.4,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1030,Electrical Engineering,Adaeze Haddad,Billable Staff,L3 Senior Engineer,84.74,87.91,85.00,2.91,75.87,81.31,78.00,3.31,160.0,148.0,130.1,17.9,0.0,5.5,2.2,4.1,5.6,0.0,0.0,0.5,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P02_Utilization_2025-11.csv,CC-1030,Electrical Engineering,Bruno Kowalski,Project Leadership,L4 Manager,63.38,63.24,60.00,3.24,56.74,53.75,55.00,-1.25,160.0,136.0,86.0,50.0,0.0,4.9,5.9,6.2,23.7,3.8,3.9,1.6,0.0,24.0,8.0,12.0,4.0,0.0
